x,y,value
AL ,MN, 174.0
AL ,DOH, 222.5
AL ,A, 55.5
AL ,MVA, 23.9
AL ,APENS, 15.6
AL ,ISH, 15.7
AL ,AS, 11.8
AK ,MN, 158.7
AK ,DOH, 141.0
AK ,A, 63.1
AK ,MVA, 12.9
AK ,APENS, 16.9
AK ,ISH, 25.8
AK ,AS, 7.3
AZ ,MN, 136.8
AZ ,DOH, 138.9
AZ ,A, 54.2
AZ ,MVA, 14.1
AZ ,APENS, 19.2
AZ ,ISH, 17.7
AZ ,AS, 6.3
AR ,MN, 178.8
AR ,DOH, 223.7
AR ,A, 51.8
AR ,MVA, 20.8
AR ,APENS, 12.1
AR ,ISH, 18.2
AR ,AS, 8.7
CA ,MN, 139.7
CA ,DOH, 143.1
CA ,A, 32.0
CA ,MVA, 10.2
CA ,APENS, 10.5
CA ,ISH, 10.5
CA ,AS, 5.3
CO ,MN, 137.1
CO ,DOH, 129.8
CO ,A, 51.2
CO ,MVA, 11.1
CO ,APENS, 15.0
CO ,ISH, 20.5
CO ,AS, 4.3
CT ,MN, 144.9
CT ,DOH, 144.3
CT ,A, 50.3
CT ,MVA, 8.1
CT ,APENS, 26.4
CT ,ISH, 10.1
CT ,AS, 2.7
DE ,MN, 170.8
DE ,DOH, 163.2
DE ,A, 52.4
DE ,MVA, 12.0
DE ,APENS, 29.5
DE ,ISH, 11.5
DE ,AS, 7.0
DC ,MN, 160.1
DC ,DOH, 211.7
DC ,A, 58.3
DC ,MVA, 4.8
DC ,APENS, 36.3
DC ,ISH, 5.2
DC ,AS, 16.8
FL ,MN, 146.9
FL ,DOH, 146.2
FL ,A, 54.9
FL ,MVA, 15.2
FL ,APENS, 22.5
FL ,ISH, 14.0
FL ,AS, 6.8
GA ,MN, 160.2
GA ,DOH, 179.0
GA ,A, 45.8
GA ,MVA, 15.5
GA ,APENS, 12.8
GA ,ISH, 13.3
GA ,AS, 7.9
HI ,MN, 128.7
HI ,DOH, 127.0
HI ,A, 35.3
HI ,MVA, 9.1
HI ,APENS, 11.6
